"","Grade_Level","Raw_Eth_Race","Num_Eth_Race","Eth_W","Eth_H","Eth_B","Eth_O","Economic_Disadvantage","English_Learner","Special_Ed","Gifted_Talented","Number_Discipline_Incidents","YN_Discipline","Num_Gender","Num_Campus_Name","CheetoMS1","PizzaMS2","TunaMS3","MustardMS4","WatermelonMS5","ELA_Avg","Math_Pass","ELA_Pass"
"3544",8,"W",1,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,92,1,1
"3841",7,"W",1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,90,1,1
"4424",7,"W",1,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,83,1,1
"3117",7,"H",2,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,80.5,1,1
"1298",7,"W",1,1,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,84.5,1,1
"4282",8,"H",2,0,1,0,0,0,0,1,0,0,0,0,5,0,0,0,0,1,61,1,0
"2181",6,"W",1,1,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,88.5,1,1
"1934",7,"H",2,0,1,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,87,1,1
"2299",6,"W",1,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,97,1,1
"1090",8,"W",1,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,81,1,1
"329",7,"W",1,1,0,0,0,0,0,0,0,2,1,1,5,0,0,0,0,1,77.5,1,1
"1373",7,"W",1,1,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,84,1,1
"1545",7,"W",1,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,84.5,1,1
"210",7,"W",1,1,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,1,69.5,1,0
"919",8,"W",1,1,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,1,95.5,1,1
"913",8,"W",1,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,86.5,1,1
"3757",7,"W",1,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,73.5,1,1
"1433",7,"H",2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,93,1,1
"4315",8,"W",1,1,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,93.5,1,1
"2002",6,"W",1,1,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,85.5,1,1
"2846",7,"H",2,0,1,0,0,1,1,0,0,0,0,1,4,0,0,0,1,0,82.5,1,1
"1742",6,"A",4,0,0,0,1,1,1,0,0,0,0,0,3,0,0,1,0,0,79.5,1,1
"3338",6,"W",1,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,91.5,1,1
"125",7,"W",1,1,0,0,0,0,0,1,0,1,1,1,5,0,0,0,0,1,71,1,1
"1992",7,"W",1,1,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,88.5,1,1
